№;Группа;Позиция;Количество;Спецификация;Критерий приёмки;Цена мин, ₽;Цена макс, ₽;Вариант 1;Ссылка 1;Вариант 2;Ссылка 2;Вариант 3;Ссылка 3;Вариант 4;Ссылка 4
1;Контроллер;MKS DLC32 V2.1;1;"ESP32-WROOM; съёмные StepStick; вход 12/24 В; без обязательного дисплея";"Проверена маркировка V2.1 и подревизия 001/002/003; плата без повреждений";3500;6000;Ozon;https://www.ozon.ru/search/?text=MKS%20DLC32%20V2.1;AliExpress;https://aliexpress.ru/wholesale?SearchText=MKS%20DLC32%20V2.1;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=MKS%20DLC32%20V2.1;Яндекс Маркет;https://market.yandex.ru/search?text=MKS%20DLC32%20V2.1
2;Драйвер;TMC2209 StepStick;3;"Одна ревизия; стандартный StepStick; радиаторы; известный Rsense";"Одинаковая распиновка; два рабочих и один запасной; не EZ-формат";450;1200;Ozon;https://www.ozon.ru/search/?text=TMC2209%20StepStick;AliExpress;https://aliexpress.ru/wholesale?SearchText=TMC2209%20StepStick;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=TMC2209%20StepStick;Яндекс Маркет;https://market.yandex.ru/search?text=TMC2209%20StepStick
3;Двигатель;NEMA17 42 Н·см;2;"42×42×38–40 мм; 1,8°; вал 5 мм; 1,3–1,7 А/фаза";"Два двигателя одного артикула; известны ток, сопротивление и чертёж";900;1800;Ozon;https://www.ozon.ru/search/?text=NEMA17%2042%20%D0%9D%C2%B7%D1%81%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=NEMA17%2042%20%D0%9D%C2%B7%D1%81%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=NEMA17%2042%20%D0%9D%C2%B7%D1%81%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=NEMA17%2042%20%D0%9D%C2%B7%D1%81%D0%BC
4;Сервопривод;MG90S 180°;2;"Позиционный металлический редуктор; питание 4,8–6 В";"Возвращается в заданное положение; не continuous 360°; один запасной";450;1100;Ozon;https://www.ozon.ru/search/?text=MG90S%20180%C2%B0;AliExpress;https://aliexpress.ru/wholesale?SearchText=MG90S%20180%C2%B0;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=MG90S%20180%C2%B0;Яндекс Маркет;https://market.yandex.ru/search?text=MG90S%20180%C2%B0
5;Питание;Адаптер 12 В 5 А;1;"Закрытый настольный корпус; защита от КЗ; 60 Вт";"Под нагрузкой напряжение не проседает; корпус и кабель без нагрева";1200;2500;Ozon;https://www.ozon.ru/search/?text=%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B5%D1%80%2012%20%D0%92%205%20%D0%90;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B5%D1%80%2012%20%D0%92%205%20%D0%90;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B5%D1%80%2012%20%D0%92%205%20%D0%90;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B5%D1%80%2012%20%D0%92%205%20%D0%90
6;Питание;DC/DC 12→5 В 3 А;1;"Регулируемый понижающий преобразователь; реальный ток не менее 3 А";"До подключения MG90S выставлено 5,0 В; просадка при движении менее 0,3 В";300;900;Ozon;https://www.ozon.ru/search/?text=DC/DC%2012%E2%86%925%20%D0%92%203%20%D0%90;AliExpress;https://aliexpress.ru/wholesale?SearchText=DC/DC%2012%E2%86%925%20%D0%92%203%20%D0%90;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=DC/DC%2012%E2%86%925%20%D0%92%203%20%D0%90;Яндекс Маркет;https://market.yandex.ru/search?text=DC/DC%2012%E2%86%925%20%D0%92%203%20%D0%90
7;Защита;Держатель предохранителя 5 А;1;Автомобильный либо цилиндрический закрытый держатель в разрыв +12 В;"Предохранитель заменяемый; контакт не греется";150;500;Ozon;https://www.ozon.ru/search/?text=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%205%20%D0%90;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%205%20%D0%90;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%205%20%D0%90;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%205%20%D0%90
8;Управление;Выключатель 12 В;1;"Постоянный ток не менее 8 А; фиксируемое положение";"Размыкает +12 В; доступен оператору";200;700;Ozon;https://www.ozon.ru/search/?text=%D0%92%D1%8B%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%2012%20%D0%92;AliExpress;https://aliexpress.ru/wholesale?SearchText=%D0%92%D1%8B%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%2012%20%D0%92;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=%D0%92%D1%8B%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%2012%20%D0%92;Яндекс Маркет;https://market.yandex.ru/search?text=%D0%92%D1%8B%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%2012%20%D0%92
9;Направляющая;MGN12H 450 мм с 2 каретками;1;"Один рельс 450 мм; две каретки MGN12H";"Каретки без клина; рельс прямой; фактические размеры внесены в ведомость";2200;5000;Ozon;https://www.ozon.ru/search/?text=MGN12H%20450%20%D0%BC%D0%BC%20%D1%81%202%20%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0%D0%BC%D0%B8;AliExpress;https://aliexpress.ru/wholesale?SearchText=MGN12H%20450%20%D0%BC%D0%BC%20%D1%81%202%20%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0%D0%BC%D0%B8;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=MGN12H%20450%20%D0%BC%D0%BC%20%D1%81%202%20%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0%D0%BC%D0%B8;Яндекс Маркет;https://market.yandex.ru/search?text=MGN12H%20450%20%D0%BC%D0%BC%20%D1%81%202%20%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0%D0%BC%D0%B8
10;Направляющая;MGN12H 300 мм;1;"Рельс 300 мм; одна каретка MGN12H";"Каретка без клина; размеры внесены в ведомость";1700;4000;Ozon;https://www.ozon.ru/search/?text=MGN12H%20300%20%D0%BC%D0%BC;AliExpress;https://aliexpress.ru/wholesale?SearchText=MGN12H%20300%20%D0%BC%D0%BC;Wildberries;https://www.wildberries.ru/catalog/0/search.aspx?search=MGN12H%20300%20%D0%BC%D0%BC;Яндекс Маркет;https://market.yandex.ru/search?text=MGN12H%20300%20%D0%BC%D0%BC
