Группа;Компонент;Артикул/ревизия;Параметр;Номинал;Измерено 1;Измерено 2;Измерено 3;Принято в CAD;Ед.;Допуск/критерий;Статус;Комментарий
Направляющая;MGN12H Y №1;;Длина блока;45.4;;;;;мм;зафиксировать максимум;НЕ ИЗМЕРЕНО;
Направляющая;MGN12H Y №1;;Ширина блока;27;;;;;мм;зафиксировать максимум;НЕ ИЗМЕРЕНО;
Направляющая;MGN12H Y №1;;Сетка отверстий X;20;;;;;мм;±0.10;НЕ ИЗМЕРЕНО;
Направляющая;MGN12H Y №1;;Сетка отверстий Y;20;;;;;мм;±0.10;НЕ ИЗМЕРЕНО;
Направляющая;Рельс Y;;Общая длина;450;;;;;мм;не меньше 450;НЕ ИЗМЕРЕНО;
Направляющая;Рельс Y;;От торца до первого отверстия;;;;;;мм;перенести по факту;НЕ ИЗМЕРЕНО;
Направляющая;Рельс X;;Общая длина;300;;;;;мм;не меньше 300;НЕ ИЗМЕРЕНО;
Профиль;2020 slot 6;;Сечение X;20;;;;;мм;записать максимум;НЕ ИЗМЕРЕНО;
Профиль;2020 slot 6;;Сечение Z;20;;;;;мм;записать максимум;НЕ ИЗМЕРЕНО;
Профиль;2020 slot 6;;Горловина паза;6;;;;;мм;T-гайка M5 входит свободно;НЕ ИЗМЕРЕНО;
Двигатель;NEMA17;17HE15-1504S или утверждённый аналог;Длина корпуса;38;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Двигатель;NEMA17;;Монтажный шаг;31;;;;;мм;по паспорту/факту;НЕ ИЗМЕРЕНО;
Двигатель;NEMA17;;Диаметр бурта;22;;;;;мм;по паспорту/факту;НЕ ИЗМЕРЕНО;
Двигатель;NEMA17;;Диаметр вала;5;;;;;мм;шкив садится без люфта;НЕ ИЗМЕРЕНО;
Двигатель;NEMA17;;Ток фазы;1.5;;;;;А;по паспорту;НЕ ИЗМЕРЕНО;
Драйвер;TMC2209;;Ревизия платы;;;;;;;точно указать;НЕ ИЗМЕРЕНО;
Драйвер;TMC2209;;Rsense;;;;;;Ом;по схеме платы;НЕ ИЗМЕРЕНО;
Драйвер;TMC2209;;Vref начальный;;;;;;В;рассчитать после фиксации мотора;НЕ ИЗМЕРЕНО;
Серво;MG90S;;Корпус X;22.8;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Серво;MG90S;;Корпус Y;12.2;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Серво;MG90S;;Корпус Z;28.5;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Серво;MG90S;;Расстояние ушей;32.5;;;;;мм;±0.20;НЕ ИЗМЕРЕНО;
Ремень;Шкив GT2 20T;;Наружный диаметр;12.2;;;;;мм;не задевает кронштейн;НЕ ИЗМЕРЕНО;
Ремень;Шкив GT2 20T;;Полная ширина;16;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Ремень;Ролик GT2;;Наружный диаметр;18;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Ремень;Ролик GT2;;Ширина;11;;;;;мм;обновить модель;НЕ ИЗМЕРЕНО;
Перо;Рабочая ручка;;Диаметр корпуса;10.2;;;;;мм;ползун без люфта;НЕ ИЗМЕРЕНО;
Перо;Пружина;;Наружный диаметр;10;;;;;мм;входит в крышку;НЕ ИЗМЕРЕНО;
Перо;Пружина;;Сжатие при 2 Н;;;;;;мм;рабочий ход 3–5 мм;НЕ ИЗМЕРЕНО;
Концевик;X/Y;;Шаг отверстий;9.5;;;;;мм;по факту;НЕ ИЗМЕРЕНО;
Концевик;X/Y;;Ход после щелчка;;;;;;мм;не доходить до упора;НЕ ИЗМЕРЕНО;
Контроллер;MKS DLC32;;Подревизия;;;;;;;V2.1_001/002/003;НЕ ИЗМЕРЕНО;
Контроллер;MKS DLC32;;Габарит X;90;;;;;мм;по факту;НЕ ИЗМЕРЕНО;
Контроллер;MKS DLC32;;Габарит Y;70;;;;;мм;по факту;НЕ ИЗМЕРЕНО;
Контроллер;MKS DLC32;;Сетка крепёжных отверстий;;;;;;мм;ввести координаты каждого отверстия;НЕ ИЗМЕРЕНО;
